pubid,gsid,univ
10151427635948258068,pygPWvEAAAAJ,University of California - Los Angeles
10151643071753808126,co8JfCAAAAAJ,Michigan Technological University
10151739006408597079,tu39-p8AAAAJ,Boston University
10154609290150668705,nwfZfqoAAAAJ,California Institute of Technology
10154640795187625310,TMw2-csAAAAJ,University of California - Santa Cruz
1015488236862819121,vkX6VV4AAAAJ,University of Illinois at Chicago
10155121838685133075,0SkFI4MAAAAJ,University of California - San Diego
10155223454419541171,frOtmtAAAAAJ,Stony Brook University
10155223454419541171,mbaG-mQAAAAJ,Missouri University of Technology
10155364658998819421,ID4dOvAAAAAJ,Oregon State University
10155592393872339265,nimapDwAAAAJ,University of Maryland - College Park
10155592393872339265,PxZT1sgAAAAJ,Cornell University
1015579297306658451,WrnEVwQAAAAJ,University of Maryland - College Park
10156006120042250527,2efgcS0AAAAJ,Stanford University
10156006120042250527,UdpacsMAAAAJ,Carnegie Mellon University
10156015877823732768,8aYcwtUAAAAJ,University of Louisiana - Lafayette
10156076415685450247,e8e5qGcAAAAJ,University of Pennsylvania
10156502796657995922,5m5ds6UAAAAJ,Purdue University
10156846097256618737,jDXlUyQAAAAJ,Univ. of Colorado Colorado Springs
10156860004711551719,f6cjEJcAAAAJ,University of Central Florida
10157080273531805567,HA3R65IAAAAJ,University of Colorado Boulder
10157106993317649464,NCQuZX0AAAAJ,Indiana University
10157577339825507969,9fBhPy0AAAAJ,Rutgers University
10158066136156326294,pno6BrMAAAAJ,Louisiana State University - Baton Rouge
10158286039768868992,t_DFZvgAAAAJ,Dartmouth College
10158440106277363665,bpO_ZLoAAAAJ,Rochester Institute of Technology
1015890162587322802,pfBh4zEAAAAJ,Cornell University
10159785697787035509,SWqd2rgAAAAJ,Stanford University
10159785697787035509,zX3ba1kAAAAJ,Stanford University
10160078976458725979,ruIgbscAAAAJ,University at Buffalo
10160473142986158158,IGDs4HwAAAAJ,California Institute of Technology
10160501793471447207,mHwonDEAAAAJ,Georgia Institute of Technology
10161132699901497395,jTnQTBoAAAAJ,University of Southern California
10161212496748565286,_KNDS-kZ-nIJ,Cornell University
10161274397828475525,3p-KQUwAAAAJ,Yale University
10161476432689158932,7uZPiGoAAAAJ,University of Utah
10161783092030980626,UnuQfEwAAAAJ,Texas A&M University
